ID,Rt,Name,Train,Origin,Dest,Class,RtCl-1,RtCl-2,BL,Date,Rep Month,Rep FYR,PNR,Version,Riders,Weight,Miles,DepP,ArrP,S1,1010,1020,1025,1030,1040,1042,1044,1046,1050,1060,1070,1080,1090,1100,1110,2010,2020,2030,2040,2050,2060,2065,2070,2080,2090,2100,2110,2120,2124,2126,2130,2132,2133,2135,2140,2150,2160,2170,2180,2141,2142,2152,2162,2172,2182,2185,2190,2200,2210,2220,2410,2420,2430,2440,2450,2460,3010,3020,3030,3040,4010,4020,4030,4040,4050,4060
91683,3,Ethan Allen,290,SAR,NYP,B,03B,03A,SC,10/31/2014,201410,2015,2D5030,SDWF,1,66,178,8,-10,1,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,NULL,100,100,100,100,1,100,90,NULL,NULL,100,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,90,NULL,NULL,NULL,NULL,NULL,100,100,100,100.00
91684,3,Ethan Allen,291,ALB,FED,C,03C,03A,SC,10/28/2014,201410,2015,D512AB,SDWF,1,66,56,0,4,1,100,100,1,100,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,100,NULL,100,0,100,100,1,100,100,0,0,0,0,100,NULL,30,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,100,0,0,0,NULL,NULL,0,0,50,25.00
91685,3,Ethan Allen,290,FED,NYP,C,03C,03A,SC,10/9/2014,201410,2015,774300,SDWF,1,66,197,3,15,2,80,100,2,NULL,NULL,NULL,NULL,NULL,70,70,80,80,80,80,80,100,NULL,100,100,100,100,1,90,80,80,100,100,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,100,90,80,80,NULL,NULL,100,100,100,100.00
91686,3,Ethan Allen,290,FED,NYP,C,03C,03A,SC,10/9/2014,201410,2015,77451A,SDWF,1,66,197,3,15,1,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,100,NULL,100,100,100,100,1,100,100,100,100,100,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,100,50,100,50,NULL,NULL,100,100,100,100.00
91687,3,Ethan Allen,290,FED,NYP,C,03C,03A,SC,10/9/2014,201410,2015,B8A1E4,SDWF,1,66,197,3,15,4,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,100,NULL,100,100,100,100,1,100,100,100,100,100,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,90,100,100,100,NULL,NULL,100,100,100,100.00
91688,3,Ethan Allen,292,FED,NYP,C,03C,03A,SC,10/18/2014,201410,2015,C92659,SDWF,1,66,197,26,15,2,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,100,NULL,100,100,100,100,1,80,90,100,100,100,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,70,80,70,70,70,100,100,100,100,NULL,NULL,100,100,100,100.00
91689,3,Ethan Allen,293,NYP,FED,C,03C,03A,SC,10/3/2014,201410,2015,B51E23,SDWF,1,66,197,0,47,2,100,NULL,1,NULL,100,NULL,NULL,NULL,100,100,100,100,100,100,100,100,NULL,100,100,100,100,2,NULL,NULL,50,NULL,100,50,100,NULL,100,NULL,NULL,1,100,100,100,40,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,40,90,40,40,40,80,NULL,NULL,70,NULL,NULL,80,90,100,95.00
91690,3,Ethan Allen,293,NYP,RUD,C,03C,03A,SC,10/3/2014,201410,2015,B24715,SDWF,1,66,241,0,29,4,70,90,2,NULL,NULL,NULL,NULL,NULL,90,80,90,100,90,90,90,50,NULL,80,60,40,80,1,20,80,80,80,60,40,90,NULL,90,NULL,NULL,1,40,90,20,30,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,80,80,70,50,70,90,80,80,90,NULL,NULL,70,70,70,70.00
91691,3,Ethan Allen,293,NYP,RUD,C,03C,03A,SC,10/10/2014,201410,2015,AF9889,SDWF,1,66,241,3,0,2,80,100,2,NULL,NULL,NULL,NULL,NULL,70,60,70,70,80,80,80,90,NULL,100,90,90,NULL,1,70,80,70,NULL,90,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,100,100,100.00
91692,3,Ethan Allen,291,NYP,RUD,C,03C,03A,SC,10/12/2014,201410,2015,A2422E,SDWF,1,66,241,0,9,2,100,100,1,100,NULL,NULL,NULL,NULL,70,70,100,100,80,90,100,100,NULL,90,100,100,100,1,70,90,30,20,40,90,100,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,100,NULL,NULL,90,NULL,NULL,90,100,100,100.00
