ID,Rt,Name,Train,Origin,Dest,Class,RtCl-1,RtCl-2,BL,Date,Rep Month,Rep FYR,PNR,Version,Riders,Weight,Miles,DepP,ArrP,S1,1010,1020,1025,1030,1040,1042,1044,1046,1050,1060,1070,1080,1090,1100,1110,2010,2020,2030,2040,2050,2060,2065,2070,2080,2090,2100,2110,2120,2124,2126,2130,2132,2133,2135,2140,2150,2160,2170,2180,2141,2142,2152,2162,2172,2182,2185,2190,2200,2210,2220,2410,2420,2430,2440,2450,2460,3010,3020,3030,3040,4010,4020,4030,4040,4050,4060
414546,3,Ethan Allen,290,RUD,NYP,C,03C,03A,SC,11/16/2016,201611,2017,5340A8,SDWF,1,92,241,0,-9,2,100,100,NULL,NULL,NULL,8,90,100,90,90,90,100,90,90,90,90,NULL,100,90,90,90,1,90,90,80,NULL,NULL,100,90,100,100,NULL,NULL,1,60,100,60,60,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,90,90,90,90,NULL,NULL,100,90,100,95
414547,3,Ethan Allen,290,RUD,NYP,C,03C,03A,SC,11/23/2016,201611,2017,778A39,SDWF,1,92,241,2,23,2,100,100,NULL,NULL,NULL,8,70,80,90,90,80,80,80,80,80,70,NULL,90,90,90,100,1,90,90,80,60,70,90,100,100,100,NULL,NULL,1,NULL,100,NULL,NULL,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,90,100,90,90,80,90,NULL,NULL,90,NULL,NULL,90,90,100,95
414548,3,Ethan Allen,290,RUD,NYP,C,03C,03A,SC,11/28/2016,201611,2017,6B1391,SDWF,1,92,241,0,15,3,100,80,NULL,NULL,NULL,2,100,100,100,100,100,80,100,100,100,80,NULL,90,100,100,60,1,90,30,90,NULL,80,90,100,100,100,NULL,NULL,1,80,100,90,80,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,90,90,90,90,NULL,NULL,90,100,100,100
414549,3,Ethan Allen,290,RUD,SDY,C,03C,03A,SC,11/18/2016,201611,2017,0A9C83,SDWF,1,92,82,0,-5,2,100,100,NULL,NULL,NULL,95,NULL,NULL,100,100,100,100,100,100,100,100,NULL,100,100,100,100,1,100,100,100,NULL,100,100,100,100,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,100,NULL,NULL,100,NULL,NULL,100,100,100,100
414550,3,Ethan Allen,290,SAR,NYP,C,03C,03A,SC,11/4/2016,201611,2017,27EB25,SDWF,1,92,178,2,13,2,100,100,NULL,NULL,NULL,8,100,100,100,100,100,100,100,100,100,100,NULL,100,100,100,100,1,100,100,100,NULL,100,100,100,100,100,NULL,NULL,1,100,100,100,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,100,NULL,NULL,100,NULL,NULL,100,100,100,100
414551,3,Ethan Allen,292,SAR,NYP,C,03C,03A,SC,11/5/2016,201611,2017,6819B3,SDWF,1,92,178,9,-2,1,100,100,NULL,NULL,NULL,8,100,90,100,100,100,100,100,100,100,100,NULL,100,100,100,100,1,100,100,90,90,90,100,100,100,100,NULL,NULL,1,100,100,100,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,100,100,100,100,NULL,NULL,100,100,100,100
414552,3,Ethan Allen,292,SAR,NYP,C,03C,03A,SC,11/5/2016,201611,2017,6648F0,SDWF,1,92,178,9,-2,1,100,100,NULL,NULL,NULL,8,100,100,90,100,100,90,90,100,100,100,NULL,100,100,100,90,2,NULL,NULL,90,NULL,80,90,100,100,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,30,90,90,60,NULL,NULL,90,90,100,95
414553,3,Ethan Allen,292,SAR,NYP,C,03C,03A,SC,11/5/2016,201611,2017,0E6930,SDWF,1,92,178,9,-2,1,100,90,NULL,NULL,NULL,8,100,100,100,100,100,100,70,90,90,100,NULL,100,100,70,60,1,60,50,30,100,100,100,100,100,90,NULL,NULL,1,90,100,100,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,90,100,100,100,100,100,NULL,NULL,100,NULL,NULL,80,90,90,90
414554,3,Ethan Allen,290,SAR,NYP,C,03C,03A,SC,11/21/2016,201611,2017,07B07D,SDWF,1,92,178,2,-3,4,100,100,NULL,NULL,NULL,8,50,90,100,100,100,90,100,100,100,100,NULL,80,20,100,100,1,20,0,NULL,NULL,100,100,90,100,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,0,NULL,NULL,50,100,90,95
414555,3,Ethan Allen,290,SAR,NYP,C,03C,03A,SC,11/22/2016,201611,2017,752A6F,SDWF,1,92,178,4,-1,3,100,100,NULL,NULL,NULL,8,100,100,100,100,100,100,100,100,100,100,NULL,100,100,100,100,1,100,100,100,100,100,100,100,100,100,NULL,NULL,1,100,100,100,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,100,100,100,100,NULL,NULL,100,100,100,100
