ID,Rt,Name,Train,Origin,Dest,Class,RtCl-1,RtCl-2,BL,Date,Rep Month,Rep FYR,PNR,Version,Riders,Weight,Miles,DepP,ArrP,S1,1010,1020,1025,1030,1040,1042,1044,1046,1050,1060,1070,1080,1090,1100,1110,2010,2020,2030,2040,2050,2060,2065,2070,2080,2090,2100,2110,2120,2124,2126,2130,2132,2133,2135,2140,2150,2160,2170,2180,2141,2142,2152,2162,2172,2182,2185,2190,2200,2210,2220,2410,2420,2430,2440,2450,2460,3010,3020,3030,3040,4010,4020,4030,4040,4050,4060
221663,3,Ethan Allen,290,FED,NYP,B,03B,03A,SC,10/5/2015,201510,2016,58C7FD,SDWF,1,59,197,0,0,4,100,90,2,NULL,NULL,NULL,NULL,NULL,90,90,90,100,90,90,90,100,NULL,80,90,100,100,2,NULL,NULL,80,90,90,100,100,100,100,NULL,NULL,1,80,100,80,80,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,80,80,80,70,70,70,80,70,70,NULL,NULL,80,90,100,95
221664,3,Ethan Allen,290,FED,NYP,B,03B,03A,SC,10/9/2015,201510,2016,6F5293,SDWF,1,59,197,2,4,1,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,100,NULL,100,100,100,100,1,100,100,100,100,100,100,100,100,100,NULL,NULL,1,100,100,100,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,NULL,NULL,100,100,100,100
221665,3,Ethan Allen,291,NYP,RUD,B,03B,03A,SC,10/14/2015,201510,2016,23F5C5,SDWF,1,59,241,0,17,4,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,100,NULL,100,100,100,100,1,80,30,100,100,50,100,100,100,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,100,100,100,100,NULL,NULL,100,100,100,100
221666,3,Ethan Allen,291,NYP,SAR,B,03B,03A,SC,10/27/2015,201510,2016,90E7ED,SDWF,1,59,178,0,2,1,90,90,2,NULL,NULL,NULL,NULL,NULL,90,90,90,90,70,80,70,80,NULL,90,90,90,80,1,70,50,80,80,90,90,80,90,90,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,10,0,0,0,80,80,80,80,NULL,NULL,60,70,90,80
221667,3,Ethan Allen,296,RUD,NYP,B,03B,03A,SC,10/11/2015,201510,2016,750502,SDWF,1,59,241,0,-1,2,90,90,2,NULL,NULL,NULL,NULL,NULL,80,80,90,90,100,90,90,70,NULL,40,10,40,40,1,40,50,60,60,50,70,80,80,90,NULL,NULL,1,70,100,90,60,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,80,80,70,80,70,60,NULL,NULL,70,NULL,NULL,70,80,80,80
221668,3,Ethan Allen,290,RUD,NYP,B,03B,03A,SC,10/12/2015,201510,2016,7A27EA,SDWF,1,59,241,0,23,3,80,100,2,NULL,NULL,NULL,NULL,NULL,80,80,100,100,100,80,90,80,NULL,70,90,50,30,1,50,10,70,90,70,90,90,100,100,NULL,NULL,1,50,80,70,40,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,90,90,90,90,90,60,NULL,NULL,70,NULL,NULL,90,80,80,80
221669,3,Ethan Allen,296,RUD,RHI,B,03B,03A,SC,10/25/2015,201510,2016,A4036D,SDWF,1,59,153,0,1,2,80,90,2,NULL,NULL,NULL,NULL,NULL,50,80,90,50,100,90,50,90,NULL,50,90,90,90,1,90,80,80,80,60,90,90,70,70,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,90,90,90,70,100,80,60,60,70,NULL,NULL,80,80,70,75
221670,3,Ethan Allen,290,RUD,SDY,B,03B,03A,SC,10/9/2015,201510,2016,8F4C1B,SDWF,1,59,82,0,4,3,90,90,2,NULL,NULL,NULL,NULL,NULL,90,90,80,60,90,90,90,80,NULL,100,80,90,90,1,90,70,90,90,70,90,80,90,90,NULL,NULL,1,100,90,80,90,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,80,70,40,90,50,90,90,100,50,NULL,NULL,90,90,90,90
221671,3,Ethan Allen,290,SAR,NYP,B,03B,03A,SC,10/2/2015,201510,2016,4E720F,SDWF,1,59,178,8,-1,3,100,100,2,NULL,NULL,NULL,NULL,NULL,100,90,100,100,100,100,90,100,NULL,100,100,100,100,1,100,100,100,NULL,80,100,100,100,100,NULL,NULL,1,100,100,NULL,70,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,100,100,90,100,NULL,NULL,100,100,100,100
221672,3,Ethan Allen,290,SAR,NYP,B,03B,03A,SC,10/2/2015,201510,2016,4E720F,SDWF,1,59,178,8,-1,1,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,100,NULL,90,100,100,100,1,80,90,100,NULL,80,100,100,100,100,NULL,NULL,1,90,100,90,90,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,90,90,90,90,90,90,NULL,NULL,80,NULL,NULL,100,100,100,100
