ID,Rt,Name,Train,Origin,Dest,Class,RtCl-1,RtCl-2,BL,Date,Rep Month,Rep FYR,PNR,Version,Riders,Weight,Miles,DepP,ArrP,S1,1010,1020,1025,1030,1040,1042,1044,1046,1050,1060,1070,1080,1090,1100,1110,2010,2020,2030,2040,2050,2060,2065,2070,2080,2090,2100,2110,2120,2124,2126,2130,2132,2133,2135,2140,2150,2160,2170,2180,2141,2142,2152,2162,2172,2182,2185,2190,2200,2210,2220,2410,2420,2430,2440,2450,2460,3010,3020,3030,3040,4010,4020,4030,4040,4050,4060
30478,3,Ethan Allen,291,CRT,RUD,B,03B,03A,SC,2/15/2014,201402,2014,7C3035,SDWF,1,88,209,91,137,2,0,50,2,NULL,NULL,NULL,NULL,NULL,0,0,100,100,70,80,50,90,NULL,90,90,90,90,1,70,70,50,50,90,90,90,NULL,90,NULL,NULL,1,50,90,60,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,90,70,70,80,NULL,NULL,50,50,50,50
30479,3,Ethan Allen,292,RUD,NYP,B,03B,03A,SC,2/15/2014,201402,2014,[blank],SDWF,1,88,241,0,105,2,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,100,NULL,100,100,100,100,1,80,80,100,90,100,0,100,NULL,100,NULL,NULL,1,70,100,70,70,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,70,70,70,70,NULL,NULL,70,80,100,90
30480,3,Ethan Allen,290,SDY,NYP,B,03B,03A,SC,2/28/2014,201402,2014,77FB31,SDWF,1,88,159,0,0,1,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,100,NULL,100,100,100,100,1,100,100,100,NULL,100,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,100,NULL,NULL,100,NULL,NULL,100,100,100,100
30481,3,Ethan Allen,290,FED,NYP,C,03C,03A,SC,2/28/2014,201402,2014,3414B9,SDWF,1,88,197,0,0,1,30,80,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,90,90,90,90,20,NULL,30,50,30,20,1,20,30,50,NULL,90,90,70,NULL,40,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,80,90,90,90,90,20,20,10,10,NULL,NULL,20,40,30,35
30482,3,Ethan Allen,291,NYP,FED,C,03C,03A,SC,2/23/2014,201402,2014,84BEA0,SDWF,1,88,197,6,17,4,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,90,NULL,90,100,90,100,1,90,90,100,100,100,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,100,100,100,100,NULL,NULL,100,100,100,100
30483,3,Ethan Allen,291,NYP,RUD,C,03C,03A,SC,2/15/2014,201402,2014,841979,SDWF,1,88,241,84,137,1,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,60,80,60,100,NULL,50,90,80,70,1,50,20,70,100,100,60,100,NULL,100,NULL,NULL,1,100,100,100,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,NULL,NULL,80,90,100,95
30484,3,Ethan Allen,291,NYP,RUD,C,03C,03A,SC,2/17/2014,201402,2014,71B901,SDWF,1,88,241,0,-15,4,90,90,2,NULL,NULL,NULL,NULL,NULL,90,80,90,90,80,80,90,90,NULL,50,70,80,70,1,70,70,80,90,90,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,90,80,80,90,NULL,NULL,90,NULL,NULL,90,90,90,90
30485,3,Ethan Allen,291,NYP,RUD,C,03C,03A,SC,2/19/2014,201402,2014,8683D9,SDWF,1,88,241,30,29,1,90,90,2,NULL,NULL,NULL,NULL,NULL,90,90,90,90,90,90,90,90,NULL,90,90,90,90,1,80,80,90,90,90,90,90,NULL,90,NULL,NULL,1,80,80,80,80,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,90,90,90,90,NULL,NULL,90,90,90,90
30486,3,Ethan Allen,291,NYP,RUD,C,03C,03A,SC,2/19/2014,201402,2014,826000,SDWF,1,88,241,30,29,3,90,90,2,NULL,NULL,NULL,NULL,NULL,70,70,80,80,80,80,80,70,NULL,80,90,90,90,1,60,60,70,90,80,70,80,NULL,100,NULL,NULL,1,90,90,80,80,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,90,90,NULL,NULL,NULL,NULL,NULL,90,90,90,90
30487,3,Ethan Allen,291,NYP,SAR,C,03C,03A,SC,2/8/2014,201402,2014,6C5DD4,SDWF,1,88,178,2,4,1,100,90,1,NULL,100,NULL,NULL,NULL,100,100,100,100,100,100,100,100,NULL,100,100,100,100,1,100,100,100,100,100,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,80,100,100,100,100,NULL,NULL,100,100,100,100
